natTi(p,x)48V


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
19.3	95.47	3.99	2.11E+01	5.71E+02	2.11E+01
19.4	93.70	3.92	2.12E+01	5.73E+02	2.12E+01
19.5	92.00	3.85	2.13E+01	5.75E+02	2.13E+01
19.6	90.37	3.78	2.14E+01	5.77E+02	2.13E+01
19.7	88.80	3.71	2.14E+01	5.79E+02	2.14E+01
19.8	87.28	3.65	2.15E+01	5.81E+02	2.15E+01
19.9	85.81	3.59	2.16E+01	5.83E+02	2.16E+01
20.0	84.39	3.52	2.16E+01	5.85E+02	2.16E+01
20.1	83.01	3.46	2.17E+01	5.87E+02	2.17E+01
20.2	81.68	3.40	2.18E+01	5.89E+02	2.18E+01
20.3	80.38	3.35	2.19E+01	5.91E+02	2.18E+01
20.4	79.12	3.30	2.19E+01	5.93E+02	2.19E+01
20.5	77.90	3.25	2.20E+01	5.94E+02	2.20E+01
20.6	76.72	3.20	2.21E+01	5.96E+02	2.20E+01
20.7	75.57	3.15	2.21E+01	5.98E+02	2.21E+01
20.8	74.45	3.10	2.22E+01	6.00E+02	2.22E+01
20.9	73.37	3.06	2.23E+01	6.01E+02	2.22E+01
21.0	72.32	3.01	2.23E+01	6.03E+02	2.23E+01
21.1	71.31	2.97	2.24E+01	6.05E+02	2.24E+01
21.2	70.32	2.93	2.24E+01	6.07E+02	2.24E+01
21.3	69.36	2.89	2.25E+01	6.08E+02	2.25E+01
21.4	68.43	2.85	2.26E+01	6.10E+02	2.25E+01
21.5	67.52	2.81	2.26E+01	6.12E+02	2.26E+01
21.6	66.65	2.78	2.27E+01	6.13E+02	2.27E+01
21.7	65.79	2.74	2.28E+01	6.15E+02	2.27E+01
21.8	64.96	2.71	2.28E+01	6.16E+02	2.28E+01
21.9	64.16	2.67	2.29E+01	6.18E+02	2.28E+01
22.0	63.37	2.64	2.29E+01	6.20E+02	2.29E+01
22.1	62.60	2.61	2.30E+01	6.21E+02	2.30E+01
22.2	61.86	2.58	2.30E+01	6.23E+02	2.30E+01
22.3	61.13	2.55	2.31E+01	6.24E+02	2.31E+01
22.4	60.42	2.52	2.32E+01	6.26E+02	2.31E+01
22.5	59.73	2.49	2.32E+01	6.27E+02	2.32E+01
22.6	59.06	2.46	2.33E+01	6.29E+02	2.32E+01
22.7	58.41	2.43	2.33E+01	6.30E+02	2.33E+01
22.8	57.77	2.41	2.34E+01	6.32E+02	2.34E+01
22.9	57.15	2.38	2.34E+01	6.33E+02	2.34E+01
23.0	56.54	2.36	2.35E+01	6.35E+02	2.35E+01
23.1	55.95	2.33	2.35E+01	6.36E+02	2.35E+01
23.2	55.37	2.31	2.36E+01	6.38E+02	2.36E+01
23.3	54.80	2.28	2.36E+01	6.39E+02	2.36E+01
23.4	54.25	2.26	2.37E+01	6.40E+02	2.37E+01
23.5	53.71	2.24	2.37E+01	6.42E+02	2.37E+01
23.6	53.19	2.22	2.38E+01	6.43E+02	2.38E+01
23.7	52.67	2.20	2.38E+01	6.45E+02	2.38E+01
23.8	52.17	2.17	2.39E+01	6.46E+02	2.39E+01
23.9	51.68	2.15	2.39E+01	6.47E+02	2.39E+01
24.0	51.19	2.13	2.40E+01	6.49E+02	2.40E+01
24.1	50.72	2.11	2.40E+01	6.50E+02	2.40E+01
24.2	50.26	2.09	2.41E+01	6.51E+02	2.41E+01
24.3	49.80	2.08	2.41E+01	6.53E+02	2.41E+01
24.4	49.36	2.06	2.42E+01	6.54E+02	2.42E+01
24.5	48.92	2.04	2.42E+01	6.55E+02	2.42E+01
24.6	48.49	2.02	2.43E+01	6.57E+02	2.43E+01
24.7	48.07	2.00	2.43E+01	6.58E+02	2.43E+01
24.8	47.66	1.99	2.44E+01	6.59E+02	2.44E+01
24.9	47.25	1.97	2.44E+01	6.60E+02	2.44E+01
25.0	46.86	1.94	2.45E+01	6.62E+02	2.45E+01
25.1	46.47	1.93	2.45E+01	6.63E+02	2.45E+01
25.2	46.09	1.91	2.46E+01	6.64E+02	2.46E+01
25.3	45.72	1.90	2.46E+01	6.66E+02	2.46E+01
25.4	45.35	1.88	2.47E+01	6.67E+02	2.46E+01
25.5	44.99	1.87	2.47E+01	6.68E+02	2.47E+01
25.6	44.64	1.85	2.48E+01	6.69E+02	2.47E+01
25.7	44.29	1.84	2.48E+01	6.71E+02	2.48E+01
25.8	43.95	1.82	2.49E+01	6.72E+02	2.48E+01
25.9	43.62	1.81	2.49E+01	6.73E+02	2.49E+01
26.0	43.29	1.80	2.49E+01	6.74E+02	2.49E+01
26.1	42.97	1.78	2.50E+01	6.75E+02	2.50E+01
26.2	42.65	1.77	2.50E+01	6.77E+02	2.50E+01
26.3	42.34	1.76	2.51E+01	6.78E+02	2.51E+01
26.4	42.03	1.74	2.51E+01	6.79E+02	2.51E+01
26.5	41.74	1.73	2.52E+01	6.80E+02	2.51E+01
26.6	41.44	1.72	2.52E+01	6.81E+02	2.52E+01
26.7	41.15	1.71	2.53E+01	6.83E+02	2.52E+01
26.8	40.87	1.70	2.53E+01	6.84E+02	2.53E+01
26.9	40.59	1.68	2.53E+01	6.85E+02	2.53E+01
27.0	40.31	1.67	2.54E+01	6.86E+02	2.54E+01
27.1	40.05	1.66	2.54E+01	6.87E+02	2.54E+01
27.2	39.78	1.65	2.55E+01	6.88E+02	2.54E+01
27.3	39.52	1.64	2.55E+01	6.90E+02	2.55E+01
27.4	39.26	1.63	2.56E+01	6.91E+02	2.55E+01
27.5	39.01	1.62	2.56E+01	6.92E+02	2.56E+01
27.6	38.77	1.61	2.56E+01	6.93E+02	2.56E+01
27.7	38.52	1.60	2.57E+01	6.94E+02	2.57E+01
27.8	38.28	1.59	2.57E+01	6.95E+02	2.57E+01
27.9	38.05	1.58	2.58E+01	6.96E+02	2.57E+01
28.0	37.82	1.57	2.58E+01	6.98E+02	2.58E+01
28.1	37.59	1.56	2.59E+01	6.99E+02	2.58E+01
28.2	37.37	1.55	2.59E+01	7.00E+02	2.59E+01
28.3	37.14	1.54	2.59E+01	7.01E+02	2.59E+01
28.4	36.93	1.53	2.60E+01	7.02E+02	2.60E+01
28.5	36.72	1.52	2.60E+01	7.03E+02	2.60E+01
28.6	36.51	1.51	2.61E+01	7.04E+02	2.60E+01
28.7	36.30	1.51	2.61E+01	7.05E+02	2.61E+01
28.8	36.10	1.50	2.61E+01	7.06E+02	2.61E+01
28.9	35.90	1.49	2.62E+01	7.08E+02	2.62E+01
29.0	35.71	1.48	2.62E+01	7.09E+02	2.62E+01
29.1	35.52	1.47	2.63E+01	7.10E+02	2.62E+01
29.2	35.33	1.47	2.63E+01	7.11E+02	2.63E+01
29.3	35.15	1.46	2.63E+01	7.12E+02	2.63E+01
29.4	34.98	1.45	2.64E+01	7.13E+02	2.64E+01
29.5	34.80	1.44	2.64E+01	7.14E+02	2.64E+01
29.6	34.64	1.44	2.65E+01	7.15E+02	2.64E+01
