natTi(p,x)46Sc


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
44.2	63.01	2.58	1.79E+00	4.83E+01	1.79E+03
44.3	63.07	2.59	1.81E+00	4.88E+01	1.81E+03
44.4	63.12	2.59	1.82E+00	4.93E+01	1.82E+03
44.5	63.16	2.59	1.84E+00	4.98E+01	1.84E+03
44.6	63.20	2.59	1.86E+00	5.03E+01	1.86E+03
44.7	63.24	2.59	1.88E+00	5.09E+01	1.88E+03
44.8	63.27	2.60	1.90E+00	5.14E+01	1.90E+03
44.9	63.30	2.60	1.92E+00	5.19E+01	1.92E+03
45.0	63.32	2.56	1.94E+00	5.24E+01	1.94E+03
45.1	63.34	2.57	1.96E+00	5.29E+01	1.96E+03
45.2	63.35	2.57	1.98E+00	5.35E+01	1.98E+03
45.3	63.36	2.57	2.00E+00	5.40E+01	2.00E+03
45.4	63.37	2.57	2.02E+00	5.45E+01	2.02E+03
45.5	63.37	2.57	2.04E+00	5.50E+01	2.04E+03
45.6	63.36	2.57	2.06E+00	5.56E+01	2.06E+03
45.7	63.36	2.57	2.08E+00	5.61E+01	2.07E+03
45.8	63.35	2.57	2.09E+00	5.66E+01	2.09E+03
45.9	63.34	2.57	2.11E+00	5.71E+01	2.11E+03
46.0	63.32	2.57	2.13E+00	5.77E+01	2.13E+03
46.1	63.30	2.56	2.15E+00	5.82E+01	2.15E+03
46.2	63.28	2.56	2.17E+00	5.87E+01	2.17E+03
46.3	63.25	2.56	2.19E+00	5.93E+01	2.19E+03
46.4	63.22	2.56	2.21E+00	5.98E+01	2.21E+03
46.5	63.19	2.56	2.23E+00	6.03E+01	2.23E+03
46.6	63.15	2.56	2.25E+00	6.09E+01	2.25E+03
46.7	63.11	2.56	2.27E+00	6.14E+01	2.27E+03
46.8	63.07	2.55	2.29E+00	6.19E+01	2.29E+03
46.9	63.03	2.55	2.31E+00	6.25E+01	2.31E+03
47.0	62.98	2.55	2.33E+00	6.30E+01	2.33E+03
47.1	62.93	2.55	2.35E+00	6.35E+01	2.35E+03
47.2	62.88	2.55	2.37E+00	6.41E+01	2.37E+03
47.3	62.83	2.54	2.39E+00	6.46E+01	2.39E+03
47.4	62.77	2.54	2.41E+00	6.51E+01	2.41E+03
47.5	62.71	2.54	2.43E+00	6.57E+01	2.43E+03
47.6	62.65	2.54	2.45E+00	6.62E+01	2.45E+03
47.7	62.58	2.54	2.47E+00	6.67E+01	2.47E+03
47.8	62.52	2.53	2.49E+00	6.73E+01	2.49E+03
47.9	62.45	2.53	2.51E+00	6.78E+01	2.51E+03
48.0	62.38	2.53	2.53E+00	6.84E+01	2.53E+03
48.1	62.31	2.52	2.55E+00	6.89E+01	2.55E+03
48.2	62.23	2.52	2.57E+00	6.94E+01	2.57E+03
48.3	62.16	2.52	2.59E+00	7.00E+01	2.59E+03
48.4	62.08	2.51	2.61E+00	7.05E+01	2.61E+03
