#ZVView-data-copy:  15-Feb-2023 18:49:49
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-62,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  403
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         20.37         0.19        0.061       0.0065  # 2013,J.R.Griswold+       ## C2048004  #dY:10.7%
          20.4         0.54       0.0619      0.00698  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         20.44         0.34      0.05897      0.00669  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          20.6            0       0.0571       0.0046  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          20.7         0.34       0.0544     0.001632  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         20.96         0.45       0.0553       0.0029  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          21.1          0.4       0.0548       0.0055  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          21.1        0.889       0.0658      0.00339  # 1997,R.Michel+           ## O0276139  #dY:5.2%
         21.19          0.3       0.0637       0.0044  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
         21.19          0.3       0.0654       0.0045  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
          21.2         0.34        0.055      0.00165  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         21.35         0.32      0.06568      0.00744  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          21.4          0.4       0.0547       0.0055  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.1%
          21.4         0.34        0.058      0.00174  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         21.52         0.51       0.0674       0.0076  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         21.64            1        0.067       0.0047  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.0%
          21.8          0.4       0.0623       0.0062  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
         21.81         0.45       0.0624       0.0032  # 1985,P.Kopecky           ## A0333003  #dY:5.1%
          21.9          0.4       0.0609       0.0061  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          21.9          0.8       0.0562       0.0068  # 1999,A.Hermanne+         ## D4088006  #dY:12.1%
            22          2.8        0.073        0.013  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:17.8%
          22.2        0.875       0.0708      0.00504  # 1997,R.Michel+           ## O0276139  #dY:7.1%
         22.24          0.3      0.07016      0.00795  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         22.29        0.165       0.0689       0.0073  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          22.3          0.3       0.0636       0.0041  # 2015,M.Shahid+           ## D7015002  #dY:6.4%
          22.4        0.878       0.0698      0.00359  # 1997,R.Michel+           ## O0276139  #dY:5.1%
         22.47         0.62       0.0716        0.005  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         22.47         0.62       0.0726        0.005  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
          22.5         3.43       0.0675      0.00694  # 1997,R.Michel+           ## O0276139  #dY:10.3%
